region,date,cases,cases_rep_1,cases_rep_2,cases_rep_3,cases_rep_4,cases_rep_5,cases_rep_past,cases_week_0,cases_week_7,cases_total,deaths,deaths_week_0,deaths_week_7,deaths_total
DE,2021-02-05,12749,8397,3953,307,81,11,186,71044,85456,2264670,854,4870,5085,60590
DE,2021-02-04,13981,9117,4362,457,29,16,244,67792,93307,2251735,790,-1444,11417,59736
DE,2021-02-03,9544,7518,1797,53,112,64,121,75944,91322,2237510,969,4986,5201,58946
DE,2021-02-02,5968,3539,1164,687,535,43,-70,79257,94098,2227845,868,4992,5365,57977
DE,2021-02-01,5617,2947,2393,197,58,22,41,79413,98705,2221947,171,5017,5457,57109
DE,2021-01-31,11115,6789,3724,464,86,52,340,80453,109706,2216289,409,5064,5911,56938
DE,2021-01-30,12070,8043,3401,475,126,25,303,81555,100809,2204834,809,5014,5547,56529
DE,2021-01-29,9497,9399,2715,-1468,-617,-532,-233306,85456,103329,2192461,-5460,5085,5650,55720
DE,2021-01-28,22133,12548,6691,1125,613,1156,233262,93307,107683,2416270,7220,11417,5893,61180
DE,2021-01-27,12857,10081,2481,136,105,54,207,91322,111850,2160875,975,5201,6130,53960
DE,2021-01-26,6124,3750,1478,499,388,9,55,94098,115428,2147811,893,5365,6083,52985
DE,2021-01-25,6657,3320,2852,395,69,21,124,98705,116787,2141632,218,5457,5949,52092
DE,2021-01-24,12217,8030,3697,318,134,38,277,109706,111519,2134851,359,5911,5624,51874
DE,2021-01-23,15971,10328,4776,638,149,80,557,100809,125139,2122357,880,5547,6097,51515
DE,2021-01-22,17348,11523,5142,527,119,37,761,103329,131109,2105829,872,5650,6201,50635
DE,2021-01-21,20148,13560,6257,273,35,23,78,107683,140966,2087720,1004,5893,6269,49763
DE,2021-01-20,15633,11441,3749,113,243,87,217,111850,142776,2067494,1139,6130,6104,48759
DE,2021-01-19,10731,4917,3353,1475,835,151,336,115428,144097,2051644,985,6083,6023,47620
DE,2021-01-18,17658,3077,9450,4430,571,130,1710,116787,143340,2040577,672,5949,6113,46635
DE,2021-01-17,3320,2136,1038,106,28,12,-1283,111519,140362,2021209,-5,5624,6076,45963
DE,2021-01-16,18491,11720,5953,573,158,87,201,125139,133510,2019172,983,6097,5914,45968
DE,2021-01-15,21702,13550,7095,907,132,18,627,131109,144001,2000480,1115,6201,5781,44985
DE,2021-01-14,24315,16031,7568,665,15,36,882,140966,112442,1978151,1241,6269,4598,43870
DE,2021-01-13,19211,13659,4936,170,229,217,421,142776,118339,1952954,1092,6104,4424,42629
DE,2021-01-12,12090,7613,2489,768,848,372,378,144097,119449,1933322,851,6023,4541,41537
DE,2021-01-11,12390,5730,4900,1345,335,80,115,143340,120495,1920854,347,6113,4450,40686
DE,2021-01-10,16940,10512,5671,508,144,105,284,140362,121858,1908349,468,6076,4489,40339
DE,2021-01-09,24461,15814,7426,704,388,129,167,133510,125362,1891125,1087,5914,4535,39871
DE01,2021-02-05,321,311,-1,7,2,2,9,1941,2613,37354,16,149,109,983
DE01,2021-02-04,480,345,138,2,-2,-3,5,2014,2739,37024,23,153,107,967
DE01,2021-02-03,224,226,-2,2,0,-2,-19,2044,2694,36539,27,150,103,944
DE01,2021-02-02,138,128,13,-3,1,-1,-3,2369,2603,36334,29,148,94,917
DE01,2021-02-01,188,164,15,2,2,5,10,2339,2708,36199,11,133,103,888
DE01,2021-01-31,309,250,62,0,-7,4,-1,2294,2779,36001,24,133,93,877
DE01,2021-01-30,281,284,21,-7,-15,-2,-3,2469,2678,35693,19,112,93,853
DE01,2021-01-29,394,363,22,5,2,2,5,2613,2678,35415,20,109,102,834
DE01,2021-01-28,510,450,48,5,6,1,-14,2739,2582,35016,20,107,98,814
DE01,2021-01-27,549,494,46,5,3,1,8,2694,2601,34520,25,103,97,794
DE01,2021-01-26,108,109,4,1,0,-6,0,2603,2564,33963,14,94,106,769
DE01,2021-01-25,143,138,-3,5,1,2,-3,2708,2575,33855,11,103,98,755
DE01,2021-01-24,484,442,32,6,0,4,1,2779,2501,33715,3,93,106,744
DE01,2021-01-23,425,421,-3,10,-5,2,1,2678,2545,33230,16,93,114,741
DE01,2021-01-22,520,503,7,9,1,0,12,2678,2633,32804,18,102,103,725
DE01,2021-01-21,465,463,5,-2,1,-2,-14,2582,2686,32272,16,98,95,707
DE01,2021-01-20,458,455,2,-1,-3,5,-4,2601,2746,31821,16,97,97,691
DE01,2021-01-19,213,236,-3,-5,-4,-11,-11,2564,2879,31367,23,106,94,675
DE01,2021-01-18,214,205,12,-2,-1,0,0,2575,2897,31165,1,98,108,652
DE01,2021-01-17,383,352,14,15,2,0,10,2501,2964,30951,3,106,102,651
DE01,2021-01-16,425,408,13,5,-1,0,-13,2545,2828,30558,25,114,98,648
DE01,2021-01-15,424,401,23,-2,-2,4,-2,2633,2781,30146,14,103,95,623
DE01,2021-01-14,484,463,24,2,-3,-2,15,2686,2304,29724,15,95,89,609
DE01,2021-01-13,421,378,41,-1,3,0,-28,2746,2280,29225,25,97,87,594
DE01,2021-01-12,224,220,4,2,0,-2,-10,2879,2250,28832,15,94,81,569
DE01,2021-01-11,140,138,-4,6,0,0,3,2897,2249,28618,9,108,70,554
DE01,2021-01-10,427,408,10,5,3,1,2,2964,2237,28475,11,102,77,545
DE01,2021-01-09,513,506,3,-1,4,1,17,2828,2187,28046,14,98,77,534
DE01001,2021-02-05,15,15,0,0,0,0,1,123,133,1138,1,2,3,22
DE01001,2021-02-04,24,26,0,0,0,-2,5,137,124,1122,0,2,3,21
DE01001,2021-02-03,28,27,0,1,0,0,0,125,154,1093,0,3,2,21
DE01001,2021-02-02,21,20,0,0,1,0,0,128,149,1065,0,3,3,21
DE01001,2021-02-01,13,13,0,0,0,0,0,109,172,1044,0,3,6,21
DE01001,2021-01-31,8,8,0,0,0,0,0,102,183,1031,0,3,7,21
DE01001,2021-01-30,14,14,0,0,0,0,0,117,169,1023,1,4,6,21
DE01001,2021-01-29,29,29,0,0,0,0,0,133,163,1009,1,3,7,20
DE01001,2021-01-28,12,12,0,0,0,0,1,124,174,980,1,3,6,19
DE01001,2021-01-27,31,28,3,0,0,0,0,154,150,967,0,2,6,18
DE01001,2021-01-26,2,1,1,0,0,0,0,149,144,936,0,3,6,18
DE01001,2021-01-25,6,6,0,0,0,0,0,172,119,934,0,6,3,18
DE01001,2021-01-24,23,22,0,1,0,0,0,183,119,928,1,7,2,18
DE01001,2021-01-23,30,31,-2,0,1,0,0,169,123,905,0,6,2,17
DE01001,2021-01-22,20,21,0,-1,0,0,0,163,115,875,1,7,1,17
DE01001,2021-01-21,42,42,0,0,0,0,0,174,119,855,0,6,2,16
DE01001,2021-01-20,26,26,0,0,0,0,0,150,114,813,1,6,2,16
DE01001,2021-01-19,25,25,0,0,0,0,0,144,114,787,3,6,2,15
DE01001,2021-01-18,17,17,0,0,0,0,0,119,130,762,1,3,2,12
DE01001,2021-01-17,9,9,0,0,0,0,0,119,118,745,0,2,2,11
DE01001,2021-01-16,24,24,0,0,0,0,0,123,111,736,1,2,2,11
DE01001,2021-01-15,31,31,0,0,0,0,0,115,108,712,0,1,2,10
DE01001,2021-01-14,18,18,0,0,0,0,0,119,73,681,0,2,1,10
DE01001,2021-01-13,20,12,8,0,0,0,1,114,65,663,1,2,1,10
DE01001,2021-01-12,0,0,0,0,0,0,0,114,53,642,0,2,0,9
DE01001,2021-01-11,17,17,0,0,0,0,0,130,45,642,0,2,0,9
DE01001,2021-01-10,13,13,0,0,0,0,0,118,46,625,0,2,0,9
DE01001,2021-01-09,16,16,0,0,0,0,1,111,42,612,0,2,1,9
DE01002,2021-02-05,16,16,0,0,0,0,0,100,134,3090,1,4,9,73
DE01002,2021-02-04,33,9,24,0,0,0,0,105,137,3074,0,3,14,72
DE01002,2021-02-03,1,0,0,1,0,0,0,93,150,3041,0,5,13,72
DE01002,2021-02-02,3,6,-3,0,0,0,2,120,158,3040,1,7,11,72
DE01002,2021-02-01,16,16,0,0,0,0,-3,130,157,3035,0,10,9,71
DE01002,2021-01-31,12,12,0,0,0,0,1,126,165,3022,1,10,9,71
DE01002,2021-01-30,19,17,1,1,0,0,-1,128,176,3009,1,9,10,70
DE01002,2021-01-29,21,21,-2,2,0,0,-2,134,180,2991,0,9,10,69
DE01002,2021-01-28,21,22,-2,0,0,1,1,137,184,2972,2,14,6,69
DE01002,2021-01-27,28,27,0,0,1,0,-3,150,186,2950,2,13,7,67
DE01002,2021-01-26,13,15,0,-2,0,0,0,158,170,2925,4,11,7,65
DE01002,2021-01-25,12,12,0,0,0,0,0,157,189,2912,0,9,6,61
DE01002,2021-01-24,14,14,0,0,0,0,0,165,177,2900,0,9,7,61
DE01002,2021-01-23,25,25,0,0,0,0,1,176,167,2886,1,10,6,61
DE01002,2021-01-22,24,24,0,0,0,0,-2,180,190,2860,5,10,5,60
DE01002,2021-01-21,34,33,0,0,1,0,0,184,200,2838,1,6,6,55
DE01002,2021-01-20,36,37,0,-2,1,0,1,186,203,2804,0,7,7,54
DE01002,2021-01-19,12,14,0,-2,0,0,0,170,223,2767,2,7,9,54
DE01002,2021-01-18,20,19,0,1,0,0,0,189,219,2755,0,6,10,52
DE01002,2021-01-17,25,27,-2,0,0,0,1,177,222,2735,1,7,9,52
DE01002,2021-01-16,29,29,0,0,0,0,-2,167,220,2709,1,6,10,51
DE01002,2021-01-15,28,28,0,0,0,0,0,190,202,2682,1,5,10,50
DE01002,2021-01-14,36,30,5,1,0,0,0,200,164,2654,2,6,8,49
DE01002,2021-01-13,20,20,0,0,0,0,0,203,154,2618,0,7,7,47
DE01002,2021-01-12,31,31,0,0,0,0,0,223,160,2598,1,9,4,47
DE01002,2021-01-11,8,8,0,0,0,0,0,219,146,2567,1,10,4,46
DE01002,2021-01-10,15,15,0,0,0,0,0,222,142,2559,0,9,4,45
DE01002,2021-01-09,52,52,1,-1,0,0,3,220,145,2544,0,10,3,45
DE01003,2021-02-05,40,42,-2,0,0,0,0,235,314,3814,0,5,8,47
DE01003,2021-02-04,92,40,52,0,0,0,0,243,326,3774,2,8,6,47
DE01003,2021-02-03,0,0,0,0,0,0,0,243,289,3682,1,7,7,45
DE01003,2021-02-02,30,30,0,0,0,0,0,321,231,3682,0,6,8,44
