region,date,cases,cases_rep_1,cases_rep_2,cases_rep_3,cases_rep_4,cases_rep_5,cases_rep_past,cases_week_0,cases_week_7,cases_total,deaths,deaths_week_0,deaths_week_7,deaths_total
DE,2021-03-19,17355,11704,4619,870,142,20,128,83810,63304,2630103,226,1296,1558,74371
DE,2021-03-18,17398,13080,3889,334,51,44,106,79271,61050,2612620,227,1322,1570,74145
DE,2021-03-17,13501,10796,2476,73,97,59,-62,76240,58509,2595116,249,1416,1608,73918
DE,2021-03-16,5474,3758,1242,250,204,20,7,71868,58370,2581677,238,1467,1726,73669
DE,2021-03-15,6587,3484,2639,412,46,6,17,70725,58046,2576196,47,1484,1829,73431
DE,2021-03-14,10786,7416,3021,247,67,35,4,69138,57733,2569592,70,1471,1855,73384
DE,2021-03-13,12709,8726,3571,332,57,23,-35,66433,57476,2558802,239,1497,1916,73314
DE,2021-03-12,12816,9137,3391,245,36,7,20,63304,57632,2546128,252,1558,1985,73075
DE,2021-03-11,14367,10165,3670,469,32,31,-7,61050,57042,2533292,321,1570,2115,72823
DE,2021-03-10,9129,7473,1416,56,89,95,21,58509,57153,2518932,300,1608,2142,72502
DE,2021-03-09,4331,2873,795,475,171,17,-79,58370,56363,2509782,255,1726,2146,72202
DE,2021-03-08,5000,2484,2191,286,21,18,11,58046,56319,2505530,34,1829,2203,71947
DE,2021-03-07,8081,5521,2285,223,34,18,22,57733,55977,2500519,96,1855,2205,71913
DE,2021-03-06,9580,6795,2433,259,60,33,-21,57476,55800,2492416,300,1916,2193,71817
DE,2021-03-05,10562,7383,2894,220,58,7,22,57632,55336,2482857,264,1985,2316,71517
DE,2021-03-04,11826,8054,3438,264,37,33,90,57042,54438,2472273,359,2115,2430,71253
DE,2021-03-03,8990,7215,1652,55,18,50,29,57153,52832,2460357,418,2142,2578,70894
DE,2021-03-02,4007,2659,971,299,66,12,-59,56363,52342,2451338,358,2146,2716,70476
DE,2021-03-01,4687,2399,1964,262,43,19,45,56319,52332,2447390,60,2203,2829,70118
DE,2021-02-28,7824,5346,2337,103,28,10,66,55977,52402,2442658,157,2205,2883,70058
DE,2021-02-27,9736,6689,2724,293,28,2,31,55800,50888,2434768,369,2193,2956,69901
DE,2021-02-26,9972,7032,2627,259,52,2,28,55336,49984,2425001,394,2316,3015,69532
DE,2021-02-25,11937,8312,3349,215,22,39,-62,54438,50784,2415001,386,2430,3063,69138
DE,2021-02-24,8200,6531,1572,46,33,18,-186,52832,50695,2403126,422,2578,3195,68752
DE,2021-02-23,3963,2520,778,431,213,21,-77,52342,51278,2395112,415,2716,3448,68330
DE,2021-02-22,4345,2205,1903,190,19,28,24,52332,50613,2391226,62,2829,3401,67915
DE,2021-02-21,7647,5374,2021,208,27,17,32,52402,50722,2386857,145,2883,3443,67853
DE,2021-02-20,9272,6237,2764,212,23,36,-46,50888,53170,2379178,492,2956,3457,67708
DE01,2021-03-19,289,284,0,3,2,0,1,1664,1396,46394,5,30,48,1398
DE01,2021-03-18,342,334,8,0,-1,1,-4,1649,1354,46104,2,34,43,1393
DE01,2021-03-17,332,306,8,3,12,3,0,1568,1386,45766,7,42,41,1391
DE01,2021-03-16,118,120,0,-2,0,0,0,1485,1325,45434,9,45,35,1384
DE01,2021-03-15,88,78,7,3,0,0,0,1465,1323,45316,0,43,48,1375
DE01,2021-03-14,263,255,3,2,3,0,0,1461,1335,45228,3,44,49,1375
DE01,2021-03-13,232,226,5,1,0,0,2,1437,1306,44965,4,48,44,1372
DE01,2021-03-12,274,261,12,2,-1,0,-2,1396,1367,44731,9,48,48,1368
DE01,2021-03-11,261,255,5,2,-1,0,-3,1354,1387,44459,10,43,54,1359
DE01,2021-03-10,249,248,1,0,1,-1,-1,1386,1364,44201,10,41,63,1349
DE01,2021-03-09,98,111,-5,-5,0,-3,-2,1325,1447,43953,7,35,74,1339
DE01,2021-03-08,84,77,4,3,0,0,0,1323,1447,43857,1,48,73,1332
DE01,2021-03-07,239,213,26,0,0,0,-1,1335,1464,43773,7,49,77,1331
DE01,2021-03-06,191,188,1,1,1,0,0,1306,1460,43535,4,44,75,1324
DE01,2021-03-05,232,231,2,-1,0,0,-12,1367,1472,43344,4,48,75,1320
DE01,2021-03-04,293,250,35,7,1,0,-1,1387,1484,43124,8,54,72,1316
DE01,2021-03-03,188,188,1,0,-1,0,-1,1364,1450,42832,4,63,68,1308
